county,April,May,June,July,%April,%May,%June,%July,%Total_cases_April,%Total_cases_May,%Total_cases_June,%Total_cases_July,Name,2020 Population 
Alameda,1568,3289,5762,11131,0.094075296,0.197330133,0.345702715,0.667826609,0.003926135,0.008235368,0.014427543,0.027871049,Alameda County,1666750
Alpine,2,2,2,2,0.181653043,0.181653043,0.181653043,0.181653043,5.00782E-06,5.00782E-06,5.00782E-06,5.00782E-06,Alpine County,1101
Amador,8,10,22,110,0.020313333,0.025391666,0.055861666,0.279308331,2.00313E-05,2.50391E-05,5.50861E-05,0.00027543,Amador County,39383
Butte,16,44,168,907,0.006918739,0.019026533,0.072646764,0.39220604,4.00626E-05,0.000110172,0.000420657,0.002271049,Butte County,231256
Calaveras,13,15,32,108,0.028507522,0.032893294,0.070172361,0.236831718,3.25509E-05,3.75587E-05,8.01252E-05,0.000270423,Calaveras County,45602
Colusa,3,5,35,312,0.013871549,0.023119249,0.161834744,1.442641143,7.51174E-06,1.25196E-05,8.76369E-05,0.000781221,Colusa County,21627
Contra Costa,862,1426,2971,7577,0.074942185,0.123976283,0.258298412,0.658743545,0.002158372,0.003570579,0.007439124,0.018972144,Contra Costa County,1150220
Del Norte,3,45,50,88,0.010780509,0.161707633,0.179675147,0.316228259,7.51174E-06,0.000112676,0.000125196,0.000220344,Del Norte County,27828
El Dorado,44,90,178,613,0.023075551,0.047199992,0.093351095,0.321484387,0.000110172,0.000225352,0.000445696,0.001534898,El Dorado County,190678
Fresno,538,1714,4811,14312,0.054102977,0.172365245,0.483809332,1.439259855,0.001347105,0.004291706,0.012046322,0.035835994,Fresno County,994400
Glenn,5,16,103,315,0.017827219,0.0570471,0.367240703,1.123114772,1.25196E-05,4.00626E-05,0.000257903,0.000788732,Glenn County,28047
Humboldt,54,99,133,231,0.039597281,0.072595015,0.097526637,0.169388369,0.000135211,0.000247887,0.00033302,0.000578404,Humboldt County,136373
Imperial,319,1634,6187,9298,0.175441491,0.898656415,3.40268497,5.113651988,0.000798748,0.004091393,0.015491706,0.023281377,Imperial County,181827
Inyo,19,20,31,50,0.105631845,0.111191416,0.172346695,0.27797854,4.75743E-05,5.00782E-05,7.76213E-05,0.000125196,Inyo County,17987
Kern,866,2145,4548,18411,0.096569443,0.239193366,0.507156844,2.053048517,0.002168388,0.005370892,0.011387793,0.046099531,Kern County,896764
Kings,79,735,2394,4106,0.052191377,0.485578003,1.581596924,2.712630313,0.000197809,0.001840376,0.005994366,0.010281064,Kings County,151366
Lake,6,21,56,183,0.009319375,0.032617812,0.086980833,0.284240937,1.50235E-05,5.25822E-05,0.000140219,0.000458216,Lake County,64382
Lassen,0,5,229,631,0,0.016232712,0.743458217,2.048568275,0,1.25196E-05,0.000573396,0.001579969,Lassen County,30802
Los Angeles,22485,53746,100958,186036,0.222502598,0.531848993,0.999040127,1.840938103,0.056300469,0.134575274,0.252789984,0.46581784,Los Angeles County,10105500
Madera,46,104,488,1886,0.029174489,0.065959714,0.309503273,1.196154041,0.00011518,0.000260407,0.001221909,0.004722379,Madera County,157672
Marin,226,450,2210,4934,0.087034883,0.173299546,0.851093328,1.900133248,0.000565884,0.001126761,0.005533646,0.012354304,Marin County,259666
Mariposa,1,16,25,53,0.005723771,0.091580333,0.143094271,0.303359853,2.50391E-06,4.00626E-05,6.25978E-05,0.000132707,Mariposa County,17471
Mendocino,12,30,76,293,0.013697692,0.03424423,0.086752049,0.334451978,3.00469E-05,7.51174E-05,0.000190297,0.000733646,Mendocino County,87606
Merced,118,283,824,4065,0.04294579,0.102997107,0.299892636,1.479446072,0.000295462,0.000708607,0.002063224,0.010178404,Merced County,274765
Modoc,0,0,0,2,0,0,0,0.022786829,0,0,0,5.00782E-06,Modoc County,8777
Mono,26,35,41,128,0.18245614,0.245614035,0.287719298,0.898245614,6.51017E-05,8.76369E-05,0.00010266,0.000320501,Mono County,14250
Monterey,191,509,1605,4457,0.043848171,0.116851931,0.368462376,1.023200503,0.000478247,0.001274491,0.004018779,0.011159937,Monterey County,435594
Napa,67,112,310,865,0.048057267,0.080334536,0.222354519,0.620440836,0.000167762,0.000280438,0.000776213,0.002165884,Napa County,139417
Nevada,41,41,113,293,0.04112502,0.04112502,0.113344567,0.293893436,0.00010266,0.00010266,0.000282942,0.000733646,Nevada County,99696
Orange,2252,6100,13064,35778,0.070684909,0.191464452,0.410047803,1.122986092,0.005638811,0.015273865,0.032711111,0.089584977,Orange County,3185970
Placer,145,214,643,1822,0.036881691,0.054432289,0.163551224,0.463437526,0.000363067,0.000535837,0.001610016,0.004562128,Placer County,393149
Plumas,4,4,8,32,0.02127207,0.02127207,0.04254414,0.170176558,1.00156E-05,1.00156E-05,2.00313E-05,8.01252E-05,Plumas County,18804
Riverside,3942,7486,16634,36629,0.160848063,0.305456267,0.678728231,1.494597594,0.009870423,0.018744288,0.041650078,0.091715806,Riverside County,2450760
Sacramento,1068,1400,3004,9664,0.069306545,0.090851276,0.194940882,0.627133383,0.002674178,0.003505477,0.007521753,0.024197809,Sacramento County,1540980
San Benito,50,87,213,609,0.08125193,0.141378358,0.346133221,0.989648504,0.000125196,0.00021784,0.000533333,0.001524883,San Benito County,61537
San Bernardino,1928,5200,11797,31688,0.088782465,0.23945478,0.543240007,1.459200589,0.004827543,0.013020344,0.029538654,0.079343975,San Bernardino County,2171600
San Diego,3432,7385,13832,28688,0.102651225,0.220885576,0.413715544,0.858058959,0.008593427,0.018491393,0.034634116,0.071832238,San Diego County,3343360
San Francisco,1490,2532,3561,6423,0.168684656,0.286650704,0.403145007,0.727155399,0.003730829,0.006339906,0.008916432,0.016082629,San Francisco County,883305
San Joaquin,540,858,3291,11342,0.071745542,0.113995695,0.437249223,1.506922116,0.001352113,0.002148357,0.008240376,0.028399374,San Joaquin County,752660
San Luis Obispo,181,269,567,1740,0.06373015,0.094714975,0.199640858,0.612654484,0.000453208,0.000673552,0.001419718,0.004356808,San Luis Obispo County,284010
San Mateo,1136,2104,3141,5398,0.147619697,0.273408313,0.408163265,0.701453456,0.002844444,0.005268232,0.007864789,0.013516119,San Mateo County,769545
Santa Barbara,485,1649,2896,6094,0.108616052,0.369294578,0.648561005,1.364755099,0.001214397,0.004128951,0.00725133,0.015258842,Santa Barbara County,446527
Santa Clara,2134,2731,4265,9731,0.110137956,0.140949746,0.220121079,0.502227016,0.005343349,0.006838185,0.010679186,0.024365571,Santa Clara County,1937570
Santa Cruz,127,212,349,1076,0.046307269,0.077300323,0.127253833,0.3923356,0.000317997,0.000530829,0.000873865,0.00269421,Santa Cruz County,274255
Shasta,31,37,112,360,0.017218396,0.020550989,0.062208398,0.199955565,7.76213E-05,9.26448E-05,0.000280438,0.000901408,Shasta County,180040
Sierra,0,1,1,2,0,0.033478406,0.033478406,0.066956813,0,2.50391E-06,2.50391E-06,5.00782E-06,Sierra County,2987
Siskiyou,5,7,28,72,0.011435367,0.016009514,0.064038057,0.164669289,1.25196E-05,1.75274E-05,7.01095E-05,0.000180282,Siskiyou County,43724
Solano,254,517,1126,3520,0.056872887,0.115760955,0.252121538,0.788159692,0.000635994,0.001294523,0.002819405,0.008813772,Solano County,446610
Sonoma,228,548,1118,2748,0.04560529,0.109612715,0.223625941,0.549663761,0.000570892,0.001372144,0.002799374,0.006880751,Sonoma County,499942
Stanislaus,339,699,2165,8745,0.061657103,0.127133672,0.393768813,1.590534998,0.000848826,0.001750235,0.00542097,0.021896714,Stanislaus County,549815
Sutter,30,43,176,731,0.030989495,0.044418276,0.181805035,0.755110684,7.51174E-05,0.000107668,0.000440689,0.00183036,Sutter County,96807
Tehama,1,4,75,227,0.001564553,0.006258214,0.117341511,0.355153639,2.50391E-06,1.00156E-05,0.000187793,0.000568388,Tehama County,63916
Trinity,0,1,2,5,0,0.007977663,0.015955325,0.039888313,0,2.50391E-06,5.00782E-06,1.25196E-05,Trinity County,12535
Tulare,626,1844,3872,9241,0.134374846,0.395826223,0.831149205,1.983638897,0.001567449,0.004617214,0.009695149,0.023138654,Tulare County,465861
Tuolumne,4,4,28,134,0.007334201,0.007334201,0.051339408,0.245695741,1.00156E-05,1.00156E-05,7.01095E-05,0.000335524,Tuolumne County,54539
Ventura,517,1078,2740,7103,0.060754412,0.126679413,0.321986634,0.834697468,0.001294523,0.002699218,0.00686072,0.01778529,Ventura County,850967
Yolo,163,210,505,1494,0.073953758,0.095277848,0.22912054,0.677833835,0.000408138,0.000525822,0.001264476,0.003740845,Yolo County,220408
Yuba,17,30,71,441,0.021783422,0.038441332,0.090977819,0.565087582,4.25665E-05,7.51174E-05,0.000177778,0.001104225,Yuba County,78041
